awc_name,lat,lon,awc_code,awc_alpha_code,dist_code
Patil Tot Near Kannada School Hunshyal Py (Arbhavi),16.295801,75.02644,29555010516,A,555
Near Bus Stop Hosatti (Arbhavi),16.279713,75.02032,29555010517,A,555
Near Kannada School Bisanakoppa (Arbhavi),16.311607,75.04967,29555010518,A,555
Samaj Mandir Bisanakoppa (Arbhavi),16.31272,75.05026,29555010519,A,555
Samagar Galli Konnur (Arbhavi),16.199482,74.74817,29555010601,A,555
Near Police Station Konnur (Arbhavi),16.199137,74.746025,29555010602,A,555
Basav Nagar Konnur (Arbhavi),16.199842,74.74398,29555010603,A,555
S C Oni Konnur (Arbhavi),16.20061,74.75022,29555010604,A,555
Vaddar Oni Konnur (Arbhavi),16.199934,74.74675,29555010605,A,555
Bharm Galli Konnur (Arbhavi),16.200706,74.7493,29555010606,A,555
Kaman Chouk Konnur (Arbhavi),16.199547,74.74889,29555010607,A,555
Hosa Oni Konnur (Arbhavi),16.20085,74.744934,29555010608,A,555
Masidi Hattir Konnur (Arbhavi),16.200407,74.74815,29555010609,A,555
Kadasiddeshwar Oni Konnur (Arbhavi),16.202618,74.74843,29555010610,A,555
Jain Galli Konnur (Arbhavi),16.201021,74.74934,29555010611,A,555
Kadasiddeshwar Oni Konnur (Arbhavi),16.202766,74.74819,29555010612,A,555
Mahaveer Nagar Konnur (Arbhavi),16.202255,74.74487,29555010613,A,555
Near Laxmi Tempale Back Konnur (Arbhavi),16.201075,74.74611,29555010614,A,555
Karaning Galli Konnur (Arbhavi),16.200706,74.7493,29555010615,A,555
Jain Galli Konnur (Arbhavi),16.201372,74.74928,29555010616,A,555
Railway Station Konnur (Arbhavi),16.204826,74.73959,29555010617,A,555
Near Laxmi Tempale Khanpur (Arbhavi),16.216438,74.70505,29555010618,A,555
Near Ganapati Tempale Khanapur (Arbhavi),16.215124,74.70567,29555010619,A,555
Near Laxmi Tempale Mutnal (Arbhavi),16.21694,74.699554,29555010620,A,555
Near Primary School Mutnal (Arbhavi),16.218557,74.69953,29555010621,A,555
Gandhi Nagar Mutnal (Arbhavi),16.212883,74.70431,29555010622,A,555
Near Primary School Nandgaon (Arbhavi),16.215084,74.70205,29555010623,A,555
Near Primary School Nandgaon (Arbhavi),16.215008,74.70206,29555010624,A,555
Masidi Hattir Savalagi (Arbhavi),16.213516,74.703,29555010625,A,555
Karki Garaden Gokak Falls (Arbhavi),16.189434,74.78062,29555010701,A,555
M Stydium Gokak Falls (Arbhavi),16.188147,74.785484,29555010702,A,555
Karki Garaden Gokak Falls (Arbhavi),16.189274,74.78049,29555010703,A,555
Karki Garaden Gokak Falls (Arbhavi),16.189388,74.78067,29555010704,A,555
Ramaghad Gokak Falls (Arbhavi),16.183311,74.782486,29555010705,A,555
M Stydium Gokak Falls (Arbhavi),16.188185,74.78555,29555010706,A,555
M Stydium Gokak Falls (Arbhavi),16.188168,74.78545,29555010707,A,555
Muslim Area Manikawadi (Arbhavi),16.187363,74.77141,29555010708,A,555
Balayajjan Gudi Manikawadi (Arbhavi),16.188898,74.76917,29555010709,A,555
Kadasiddeshwar Tempale Maradimath (Arbhavi),16.195215,74.763016,29555010710,A,555
Kadasiddeshwar Tempale Maradimath (Arbhavi),16.195332,74.763084,29555010711,A,555
Maradimath Cross (Arbhavi),16.187613,74.76343,29555010712,A,555
Hali Janata Plot Nayakawadi (Arbhavi),16.193083,74.76182,29555010713,A,555
Vittal Mandir Oni Nayakwadi (Arbhavi),16.192307,74.76263,29555010714,A,555
Bhraman Galli Koujalgi (Arbhavi),16.200512,75.058075,29555010801,A,555
Bhajantri Oni Koujalgi (Arbhavi),16.203264,75.059525,29555010802,A,555
Near Hanuman Temaple Koujalgi (Arbhavi),16.202389,75.06011,29555010803,A,555
Hallur Tot Koujalgi (Arbhavi),16.21052,75.066765,29555010804,A,555
Tolannavar Oni Koujalgi (Arbhavi),16.201628,75.05988,29555010805,A,555
Laxmi Nagar Koujalgi (Arbhavi),16.201218,75.06586,29555010806,A,555
Miral Tot Koujalgi (Arbhavi),16.211838,75.03075,29555010807,A,555
Kundaragi Tot Koujalgi (Arbhavi),16.200808,75.05125,29555010808,A,555
Muslim Area Koujalgi (Arbhavi),16.203424,75.057495,29555010809,A,555
Uddammadevi Gudi Hattir Koujalgi (Arbhavi),16.203459,75.05754,29555010810,A,555
Patreppan Gudi Koujalgi (Arbhavi),16.201448,75.057076,29555010811,A,555
Mali Oni Koujalgi (Arbhavi),16.198673,75.059044,29555010812,A,555
Katti Basavanna Hattir Koujalgi (Arbhavi),16.202742,75.05639,29555010813,A,555
Hundardar Oni Koujalgi (Arbhavi),16.201965,75.05747,29555010814,A,555
Gaddi Tot Koujalgi (Arbhavi),16.183119,75.0507,29555010815,A,555
Laxmi Devasthan Kalliguddi (Arbhavi),16.179407,75.096054,29555010816,A,555
Near Kannada School Kalliguddi (Arbhavi),16.17999,75.09574,29555010817,A,555
Near Bus Stop Mannikeri (Arbhavi),16.160505,75.06827,29555010818,A,555
Near Kannada School Mannikeri (Arbhavi),16.159472,75.066895,29555010819,A,555
Mahanteshwar Tot Mannikeri (Arbhavi),16.170368,75.060776,29555010820,A,555
Lagali Tot Radeartti (Arbhavi),16.218315,75.10913,29555010821,A,555
Karisiddeshwar Temaple Raderatti (Arbhavi),16.207249,75.09387,29555010822,A,555
Desai Oni Dharmatti (Arbhavi),16.284128,74.94548,29555010901,A,555
Uppaveertot Dharamatti (Arbhavi),16.310127,74.95194,29555010902,A,555
Sanadi Tot Dharamatti (Arbhavi),16.29548,74.93808,29555010903,A,555
S C Oni Dharamatti (Arbhavi),16.28402,74.94545,29555010904,A,555
Hallur Tot Dharmatti (Arbhavi),16.304165,74.94909,29555010905,A,555
Babali Tot Dharmatti (Arbhavi),16.324387,74.9555,29555010906,A,555
Hosa Nagar Tot Dharamatti (Arbhavi),16.324387,74.955505,29555010907,A,555
Near Kannda School Gujanatti (Arbhavi),16.282007,74.93982,29555010908,A,555
Mudhol Maddi Gujanatti (Arbhavi),16.277529,74.92135,29555010909,A,555
Laxmi Nagar Gujanatti (Arbhavi),16.2758,74.907585,29555010910,A,555
Bhagirat Nagar Gujanatti (Arbhavi),16.274466,74.933685,29555010911,A,555
Gandhi Nagar Tot Jokanatti (Arbhavi),16.288157,74.90917,29555010912,A,555
Jagati Gudi Jokanatti (Arbhavi),16.286818,74.93247,29555010913,A,555
Near Kannada School Jokanatti (Arbhavi),16.288857,74.93549,29555010914,A,555
Laxmi Gudi Musaguppi (Arbhavi),16.260395,74.95858,29555010915,A,555
Laxmi Nagar Musaguppi (Arbhavi),16.264336,74.94412,29555010916,A,555
Near Kannda Schoolmusaguppi (Arbhavi),16.26009,74.955894,29555010917,A,555
Badalaknavar Tot Musaguppi (Arbhavi),16.274372,74.95161,29555010918,A,555
Vittappan Kodi Patagundi (Arbhavi),16.290245,74.95883,29555010919,A,555
Boli Tot Patagundi (Arbhavi),16.31044,74.96808,29555010920,A,555
Nayakar Tot Patagundi (Arbhavi),16.29701,74.979485,29555010921,A,555
S C Oni Patagundi (Arbhavi),16.279854,74.970985,29555010922,A,555
Near Kannada School Patagundi (Arbhavi),16.28054,74.970535,29555010923,A,555
Laxmi Devi Oni Pulagaddi (Arbhavi),16.244831,74.94422,29555010924,A,555
Kurabar Oni Pulagaddi (Arbhavi),16.245241,74.94456,29555010925,A,555
S C Oni Vadeyarahatti (Arbhavi),16.252232,74.92108,29555010926,A,555
Near Uddammadevi Tempale Vadeyarahatti (Arbhavi),16.250679,74.922714,29555010927,A,555
Muri Tot Vadeyarahatti (Arbhavi),16.2495,74.935005,29555010928,A,555
Chavadi Hattir Vadeyarahatti (Arbhavi),16.25308,74.920334,29555010929,A,555
Kuri Daddi Vadeyarahatti (Arbhavi),16.250793,74.916695,29555010930,A,555
Javal Tot Vadeyarahatti (Arbhavi),16.24641,74.920265,29555010931,A,555
Halasiddeshwar Tot Vadeyarahatti (Arbhavi),16.252834,74.90966,29555010932,A,555
Jakol Nagar Adibatti (Arbhavi),16.178106,74.86397,29555011001,A,555
Parameshwar Gudi Adibatti (Arbhavi),16.183628,74.855705,29555011002,A,555
Basava Nagar Adibatti (Arbhavi),16.197313,74.88571,29555011003,A,555
Siddaling Tempale Chigadolli (Arbhavi),16.194073,74.86717,29555011004,A,555
Malingeshwar Tempale Kalarkoppa (Arbhavi),16.198292,74.90606,29555011005,A,555
Basaveshwar Temaple Kalarakoppa (Arbhavi),16.198488,74.90606,29555011006,A,555
Kalarakoppa Cross (Arbhavi),16.183569,74.90584,29555011007,A,555
Mannikeri Oni Melvanki (Arbhavi),16.199991,74.89829,29555011008,A,555
Sadashiv Nagar Melvanki (Arbhavi),16.184193,74.89905,29555011009,A,555
Hale Chavadi Melvanki (Arbhavi),16.199722,74.89707,29555011010,A,555
Basava Nagar Melvanki (Arbhavi),16.197395,74.88579,29555011011,A,555
Yallaman Gudi Melvanki (Arbhavi),16.189436,74.89785,29555011012,A,555
Uppar Oni Melvanki (Arbhavi),16.189436,74.89785,29555011013,A,555
Goudar Cross Melvanki (Arbhavi),16.180815,74.88393,29555011014,A,555
Ganesh Nagar Melvanki (Arbhavi),16.181488,74.87965,29555011015,A,555
Nandennavar Tot Melvanki (Arbhavi),16.187645,74.88604,29555011016,A,555
Near Mallikarujn Temaple Gurlapur (Arbhavi),16.36711,74.95238,29555011101,A,555
Gaddekar Oni Gurlapur (Arbhavi),16.366467,74.95375,29555011102,A,555
Mallavagol Tot Gurlapur (Arbhavi),16.36026,74.94641,29555011103,A,555
